Id,SalePrice
1461,166862.51707661027
1462,215337.83999704855
1463,172650.1658047508
1464,284948.6035847486
1465,149901.56858848225
1466,308029.69541125547
1467,217165.07326007323
1468,155537.25624819624
1469,118920.27294548888
1470,134208.3557867637
1471,366318.4124242424
1472,138374.1848419258
1473,249626.80781024523
1474,149403.32602296688
1475,148025.1947199265
1476,147182.8402380953
1477,106743.45090187587
1478,153794.69483685508
1479,134893.29901383966
1480,324296.56670995674
1481,143462.2144542326
1482,229774.48529581534
1483,133978.46475468975
1484,147948.24326872625
1485,259243.7860960251
1486,132472.4231575495
1487,305312.29337662336
1488,192211.3167568542
1489,73226.58955988458
1490,64638.713392617494
1491,146896.97459792733
1492,196394.53406891087
1493,169615.19238095236
1494,288039.44636494823
1495,304497.06126361014
1496,146525.46838941364
1497,150791.04835366656
1498,120598.88141807687
1499,90361.94224676839
1500,151625.28033910535
1501,165148.90367294324
1502,141037.9688278893
1503,130398.9394191667
1504,139624.29650728058
1505,288746.41378525516
1506,271092.91378853464
1507,242870.25018562228
1508,112128.79520979023
1509,128106.46687781917
1510,176489.7508698372
1511,119193.08654956156
1512,112548.03418894237
1513,369686.68386280385
1514,129224.30334776333
1515,164618.64817682322
1516,200561.53468057196
1517,198348.88709497583
1518,398777.8901515152
1519,124199.74181374181
1520,160480.9766722419
1521,86284.0263416634
1522,205282.2247137963
1523,146231.63933621935
1524,226377.42240718863
1525,308247.0340258984
1526,224006.3330693297
1527,220343.42284336875
1528,87517.9623232323
1529,229640.47355798245
1530,310103.5885419126
1531,128570.3800669028
1532,184769.02971172764
1533,144452.8132339882
1534,115841.29988198668
1535,98218.43193296604
1536,125300.49712842712
1537,121590.02371310508
1538,131486.9643742621
1539,109464.1699760593
1540,193447.92232913547
1541,161905.9114538239
1542,241817.11981621903
1543,132652.58368424504
1544,173730.957727525
1545,274747.16155549005
1546,178315.17656303287
1547,149416.74556637814
1548,103042.12996851632
1549,114153.37554768464
1550,104036.83294281477
1551,114230.27626262626
1552,124671.42140939867
1553,159981.69923258558
1554,203705.86900019174
1555,181793.1994065026
1556,230177.82886789972
1557,108966.86893578642
1558,85937.96168629352
1559,125949.81994687133
1560,200431.64723861992
1561,179035.90068542567
1562,120453.34162670665
1563,204921.53227600685
1564,168752.78886265247
1565,251795.0994552669
1566,100393.57654663516
1567,104960.61690783963
1568,122455.26579233898
1569,198462.76124799447
1570,139305.27734815687
1571,178775.23476354455
1572,347930.82670011814
1573,206865.21427587562
1574,222695.14025908426
1575,171855.50525974022
1576,140464.674419646
1577,149583.70188952467
